id,judul,harga_display,harga_raw,harga_diskon,diskon_amount,merek,model,varian,tahun,km_label,km_raw,bahan_bakar,warna,transmisi,tipe_bodi,kapasitas_cc,tipe_penjual,bursa_mobil,seller_id,seller_name,seller_type,kecamatan,kota,provinsi,status,is_hot,favorit,has_video,has_promotion,jumlah_foto,foto_utama,created_at,url,harga_num,tahun_num,source_file,scrape_time,price,year,mileage,car_age,km_per_year,listing_quality,is_luxury,is_japanese
944944119,Honda Brio 2016 Bensin,Rp 125.000.000,125000000.0,,,Honda,Brio,1.2 RS Bensin-AT,2016,85.000-90.000,90,Bensin,Hitam,Automatic,Unknown,Unknown,Diler,,17493005,zen,Regular,,,Jawa Barat,active,0,0,0,0,1,https://apollo.olx.co.id:443/v1/files/69f35b9073f1e-ID/image,2026-04-30T20:39:30+07:00,https://www.olx.co.id/item/944944119,125000000.0,2016,olx_mobil_bekas_20260430_2051.csv,20260430_2051,125000000.0,2016,90,10,9.0,0.7,0,1
943938876,BRV Prestige Matic,Rp 165.000.000,165000000.0,,,Honda,BR-V,1.5 E Prestige Bensin-AT,2019,120.000-125.000,125,Bensin,Hitam,Automatic,MPV,>1.000 - 1.500 cc,Individu,,125384105,fathirdanhanif2023,Regular,,,Jawa Tengah,active,0,5,0,0,10,https://apollo.olx.co.id:443/v1/files/69b9f36b5830c-ID/image,2026-04-30T20:37:57+07:00,https://www.olx.co.id/item/943938876,165000000.0,2019,olx_mobil_bekas_20260430_2051.csv,20260430_2051,165000000.0,2019,125,7,17.857142857142858,8.5,0,1
944944085,YARIS TRD SPORTIVO MATIC 2020,Rp 205.000.000,205000000.0,,,Toyota,Yaris,1.5 TRD Sportivo Bensin-AT,2020,60.000-65.000,65,Bensin,Kuning,Automatic,Compact & City Car,>1.000 - 1.500 cc,Diler,Bursa Mobil BG Junction Surabaya,94989446,Ester (Sumber Redjo Mobil),Regular,,,Jawa Timur,active,0,0,0,0,12,https://apollo.olx.co.id:443/v1/files/69f3586f418fd-ID/image,2026-04-30T20:37:30+07:00,https://www.olx.co.id/item/944944085,205000000.0,2020,olx_mobil_bekas_20260430_2051.csv,20260430_2051,205000000.0,2020,65,6,10.833333333333334,8.399999999999999,0,1
944944083,Toyota Corolla 1997 Bensin,Rp 49.500.000,49500000.0,,,Toyota,Corolla,1.6 AE Bensin-MT,1997,115.000-120.000,120,Bensin,Hijau,Manual,Unknown,Unknown,Individu,,60775380,erpriatama,Regular,,,Jakarta D.K.I.,active,0,0,0,0,8,https://apollo.olx.co.id:443/v1/files/69f35b117984e-ID/image,2026-04-30T20:37:22+07:00,https://www.olx.co.id/item/944944083,49500000.0,1997,olx_mobil_bekas_20260430_2051.csv,20260430_2051,49500000.0,1997,120,29,4.137931034482759,5.6,0,1
944944058,Toyota Raize 1.0 Turbo GR sport 2022,Rp 198.000.000,198000000.0,,,Toyota,Raize,1.0 GR Sport Two Tone Bensin-AT,2022,40.000-45.000,45,Bensin,Kuning,Automatic,Hatchback,<1.000 cc,Individu,,2554128,Benoe,Regular,,,Yogyakarta D.I.,active,0,0,0,0,7,https://apollo.olx.co.id:443/v1/files/69f3531a0c8b6-ID/image,2026-04-30T20:37:22+07:00,https://www.olx.co.id/item/944944058,198000000.0,2022,olx_mobil_bekas_20260430_2051.csv,20260430_2051,198000000.0,2022,45,4,11.25,4.8999999999999995,0,1
944944072,Outlander GLS AT 2016 Silver,Rp 142.000.000,142000000.0,,,Mitsubishi,Outlander Sport,2.0 GLS Bensin-AT,2016,105.000-110.000,110,Bensin,Silver,Automatic,SUV,>2.000 - 3.000 cc,Diler,,131750255,Hadi Gallery ,Regular,,,Jakarta D.K.I.,active,0,0,0,0,18,https://apollo.olx.co.id:443/v1/files/69f35a4c9b7fa-ID/image,2026-04-30T20:36:41+07:00,https://www.olx.co.id/item/944944072,142000000.0,2016,olx_mobil_bekas_20260430_2051.csv,20260430_2051,142000000.0,2016,110,10,11.0,12.6,0,1
944943628,Mitsubishi Mirage 2016 Bensin,Rp 120.000.000,120000000.0,,,Mitsubishi,Mirage,1.2 GLS Bensin-AT,2016,60.000-65.000,65,Bensin,Merah,Automatic,Hatchback,>1.000 - 1.500 cc,Individu,,63877724,Yogie MS,Regular,,,Banten,active,0,1,0,0,4,https://apollo.olx.co.id:443/v1/files/69f35a7ae34cd-ID/image,2026-04-30T20:36:06+07:00,https://www.olx.co.id/item/944943628,120000000.0,2016,olx_mobil_bekas_20260430_2051.csv,20260430_2051,120000000.0,2016,65,10,6.5,3.0999999999999996,0,1
944944044,Mercedes-Benz C250 2014 Bensin,Rp 315.000.000,315000000.0,,,Mercedes-Benz,C250,,2014,115.000-120.000,120,Bensin,Hitam,Automatic,Unknown,Unknown,Individu,,5813267,defera handayani,Regular,,,Jakarta D.K.I.,active,0,0,0,0,3,https://apollo.olx.co.id:443/v1/files/69f35a45812c3-ID/image,2026-04-30T20:33:57+07:00,https://www.olx.co.id/item/944944044,315000000.0,2014,olx_mobil_bekas_20260430_2051.csv,20260430_2051,315000000.0,2014,120,12,10.0,2.0999999999999996,1,0
944944027,HONDA CIVIC 1.5 RS TURBO TAHUN 2024/2023,Rp 415.000.000,415000000.0,,,Honda,Civic,1.5 RS Bensin-AT,2023,55.000-60.000,60,Bensin,Hitam,Automatic,Sedan,>1.000 - 1.500 cc,Unknown,,92719051,Chalista Motor Solo,Regular,,,Yogyakarta D.I.,active,0,0,0,0,16,https://apollo.olx.co.id:443/v1/files/69f3597a17420-ID/image,2026-04-30T20:32:47+07:00,https://www.olx.co.id/item/944944027,415000000.0,2023,olx_mobil_bekas_20260430_2051.csv,20260430_2051,415000000.0,2023,60,3,20.0,11.2,0,1
944944022,Wuling air ev long range,Rp 139.000.000,139000000.0,,,Wuling,Air EV,Long Range Listrik-AT,2024,15.000-20.000,20,Listrik,Biru,Automatic,Compact & City Car,<1.000 cc,Individu,,123665563,Fery,Regular,,,Banten,active,0,0,0,0,11,https://apollo.olx.co.id:443/v1/files/69f3597b51575-ID/image,2026-04-30T20:32:25+07:00,https://www.olx.co.id/item/944944022,139000000.0,2024,olx_mobil_bekas_20260430_2051.csv,20260430_2051,139000000.0,2024,20,2,10.0,7.699999999999999,0,0
